Calories_Burned,Weight,Age,Gender,Exercise_Duration,HR,BMI,Weather_Conditions,Exercise_Intensity
700.0,96.30111546,45,Male,0.6166666666666667,170,29.42627467,Rainy,5
553.9319003221921,61.1046681,25,Male,0.7166666666666667,142,21.28634599,Rainy,5
265.8786289507669,71.76672384,20,Male,0.3333333333333333,148,27.8995916,Cloudy,4
700.0,82.98445557,33,Male,0.65,170,33.72955245,Sunny,10
214.64747360340874,85.64317443,29,Female,0.5666666666666667,118,23.28611341,Cloudy,3
647.561477378057,80.59659152,60,Female,0.6833333333333333,169,34.71933604,Rainy,10
394.53542131825174,61.81538551,18,Male,0.8833333333333333,103,34.59464132,Cloudy,10
179.3082469152629,62.80648911,42,Male,0.4166666666666667,104,22.05010343,Cloudy,2
521.9567334645271,54.53768847,49,Male,0.6166666666666667,161,30.94884687,Sunny,1
562.2512741516704,97.43683277,41,Male,0.9166666666666666,103,31.22404465,Cloudy,10
661.2252519164878,54.14440184,41,Male,0.8666666666666667,151,34.01756731,Cloudy,3
323.6699643814583,97.36896072,35,Female,0.4666666666666667,158,34.56511678,Sunny,6
657.8764501318177,84.42865874,54,Female,0.8,173,34.52263692,Rainy,4
345.7132231566693,60.02686967,41,Male,0.7166666666666667,121,28.9313826,Sunny,1
700.0,61.25935824,19,Male,0.9833333333333333,174,26.34012389,Cloudy,4
440.56746671650177,86.46496723,54,Male,0.7,105,28.9570926,Sunny,9
355.47516684148536,88.31452671,38,Female,0.7666666666666667,119,33.67888188,Rainy,7
358.3859653136933,84.14403879,42,Male,0.43333333333333335,126,23.89336292,Sunny,9
167.4492457807425,70.75616296,40,Female,0.38333333333333336,129,33.2386129,Sunny,2
700.0,84.43614261,49,Male,0.9833333333333333,149,20.44761953,Rainy,8
603.4602353594668,80.99303296,38,Male,0.9166666666666666,114,24.8895933,Sunny,7
374.4268215097861,52.29681481,29,Male,0.6166666666666667,135,20.54155838,Sunny,2
196.1438365692014,69.65255976,54,Female,0.43333333333333335,117,30.59981568,Rainy,3
353.4926393363181,54.69985051,30,Male,0.43333333333333335,145,33.35999724,Sunny,9
361.1463748438013,59.86013459,45,Female,0.6,135,18.74376699,Sunny,7
700.0,72.0983609,24,Male,0.95,159,31.57504828,Cloudy,2
448.04945898597964,81.68863135,56,Male,0.65,133,20.0330802,Sunny,1
399.8359446828283,98.57062426,54,Male,0.55,118,18.94809579,Cloudy,6
403.56449369628905,78.70795184,21,Male,0.35,164,21.339318,Rainy,10
508.26217576517865,49.31561328,55,Female,0.8,155,29.23556137,Sunny,1
450.7915710463504,86.24767046,47,Male,0.43333333333333335,154,22.17566114,Sunny,7
600.8251250756526,86.45526301,24,Male,0.6166666666666667,168,24.37234879,Cloudy,2
363.03515228630346,90.68068215,57,Female,0.7833333333333333,111,30.42326681,Rainy,8
371.2736902239492,77.83226162,30,Female,0.5166666666666667,170,24.94641272,Sunny,4
458.15676825399015,78.03340967,52,Female,0.8166666666666667,121,26.27883251,Sunny,9
344.13616617884054,95.66982226,20,Male,0.7166666666666667,103,24.83308985,Sunny,7
700.0,54.53063568,37,Male,0.85,155,34.36954017,Rainy,10
116.63993689889536,96.08917838,47,Female,0.4166666666666667,106,28.17738168,Sunny,5
288.8552245208099,79.82720402,28,Female,0.5166666666666667,157,21.77174362,Sunny,1
277.7655597102751,99.0966335,57,Female,0.45,150,32.25019059,Cloudy,4
618.88003941895,100.8967673,41,Female,0.8833333333333333,162,27.39231586,Cloudy,5
700.0,85.40862776,19,Male,1.0,153,22.21856755,Cloudy,1
561.7088958043815,51.17641475,32,Female,0.6166666666666667,168,19.43018046,Rainy,9
595.9234408879335,58.06911618,55,Male,0.6,159,31.76605422,Cloudy,7
700.0,70.58058256,39,Female,0.9833333333333333,177,30.65263465,Sunny,2
202.73124357738473,76.65819193,32,Female,0.4666666666666667,126,23.04409145,Rainy,2
631.7707566092955,75.47957349,58,Male,0.6,151,26.22608119,Rainy,7
700.0,66.54716531,40,Male,0.8666666666666667,158,20.05025199,Cloudy,6
428.3440321145094,82.55090155,48,Female,0.5666666666666667,174,25.8040189,Sunny,2
607.0646186609098,88.76687023,36,Male,0.9,137,29.99401277,Cloudy,2
278.37378809429924,77.79195722,35,Male,0.35,129,20.10679707,Rainy,7
359.8142818747743,56.59718028,28,Male,0.65,124,24.51337316,Rainy,3
427.4924160159432,70.505351,37,Male,0.5333333333333333,146,19.00649414,Rainy,3
473.6504854500568,81.53358944,25,Female,0.8333333333333334,136,33.61687435,Cloudy,7
700.0,81.76218279,51,Male,0.8666666666666667,146,34.29477546,Sunny,3
129.98292116613368,72.56739655,28,Female,0.3333333333333333,108,21.1134036,Rainy,1
274.53700462374553,90.70424116,27,Female,0.8833333333333333,103,29.92696454,Sunny,5
567.622668670287,92.2778923,52,Male,0.6333333333333333,136,20.23433582,Cloudy,8
166.51252731694257,75.98180486,49,Female,0.43333333333333335,112,22.83994622,Sunny,1
